Title,Price,Link
Smart ტელევიზორი BEKO B32M C 685 A 32 inch (81სმ),"
      599 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_ecb21a9f-456d-49a3-b9bb-aa2c080f0017_50x50.jpg?v=1692363072
Smart 4K Android ტელევიზორი Vox 55A11U314B 55 inch (140 სმ),"
      1,049 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_de470fc1-6430-4738-b3d0-786f65d80f2b_50x50.jpg?v=1685807175
4K Smart ტელევიზორი 2E 65A06LW 65 inch (165სმ),"
      1,419 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_bc5cb80e-e056-482a-adc4-0c977ee1fefc_50x50.jpg?v=1683730083
Smart Android 4K ტელევიზორი Vestel 65U9550T 65 inch (165 სმ),"1,884 ლარი",//isurve.ge/cdn/shop/files/NewProject_1_-min_15e9d1f0-6366-43ab-94cb-ae6babca2ac7_50x50.jpg?v=1688825038
Smart Android 4K ტელევიზორი Beko B50M D 790 B 50 inch (126სმ),"
      949 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_c3cc9d87-eedf-4aa0-b3fd-c758194ade1b_50x50.jpg?v=1705065956
Smart 4K Android ტელევიზორი Panasonic TX-43MX700E 43 inch (109 სმ),"1,269 ლარი",//isurve.ge/cdn/shop/files/4-min_2098d452-bc66-446a-abe2-f21c49822194_50x50.jpg?v=1713804001
Smart 4K ტელევიზორი SAMSUNG QE55Q60CAUXRU 55 inch (139 სმ),"
      2,599 ლარი
      
",//isurve.ge/cdn/shop/files/5-min_fa601fb8-4525-4ebe-8e53-6ef80645dc51_50x50.jpg?v=1689933786
Smart Android 4k ტელევიზორი Beko B43M D 895 A 43 inch (108სმ),"
      999 ლარი
      
",//isurve.ge/cdn/shop/files/11-min_5e84fcad-6eee-4efa-b3cb-041b54fa4bf4_50x50.jpg?v=1700901205
Smart Android ტელევიზორი TCL 43S5400 43 inch (108 სმ),749 ლარი,//isurve.ge/cdn/shop/files/1-min_72017237-7f13-47f6-bd7b-92f435bc0eac_50x50.jpg?v=1701416473
Smart 4K ტელევიზორი TCL 43P745 43 inch (109 სმ),"
      849 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_e2b6300e-f1fa-4c07-97e2-abc0c1b70289_50x50.jpg?v=1692779552
Smart 4K Android ტელევიზორი TCL 50C645 QLED 50 inch (127სმ),"
      1,149 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_bfac5167-e18d-439e-a2cc-3f2a9a1ec9df_50x50.jpg?v=1701421116
Smart 4K Android ტელევიზორი Sony KD-55X81KRU3 55 inch (140 სმ),"2,049 ლარი",//isurve.ge/cdn/shop/files/1-min_62c3965d-f35f-40ab-a873-77c92b2d437b_50x50.jpg?v=1716535049
Smart 4K Android ტელევიზორი Sony KD-65X81JR 65 inch (165 სმ),"
      2,199 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_0d5d72ab-f7bb-4ca1-a74c-583d4e44a5a3_50x50.jpg?v=1716027723
Smart 4K ტელევიზორი SAMSUNG QE55S90CAUXRU 55 inch (139 სმ),"
      4,199 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_0f656015-02a6-4bca-a102-f961674e13cf_50x50.jpg?v=1690360976
Smart 4K Android ტელევიზორი TCL 55C745/M653G1S-EU/GE  55 inch (139 სმ),"
      1,599 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_8b4df30f-51b2-4053-b097-46e1dd4980f1_50x50.jpg?v=1716028881
Smart 4K Android ტელევიზორი Sony KD-55X81JR 55 inch (140 სმ),"
      1,749 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_15fadc9c-db4c-4ec0-ad37-b7bae2664b07_50x50.jpg?v=1716027032
ტელევიზორი TCL 32D3400 32 inch (81 სმ),"
      359 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_f0f841f0-7a96-4f7a-ba73-154187e88e02_50x50.jpg?v=1715354841
Smart 4K ტელევიზორი SAMSUNG QE65S95CAUXRU 65 inch (165 სმ),"
      6,999 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_9478671d-9903-4df8-94a7-34dd723acfd8_50x50.jpg?v=1690359474
Smart 4K Android ტელევიზორი Panasonic TX-55MX700E 55 inch (139 სმ),"
      1,599 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_d3bcd8db-30b8-45d7-984b-8aa47e4100a0_50x50.jpg?v=1713859386
"Smart 4K Android ტელევიზორი Xiaomi TV A2 43"" (109სმ)",859 ლარი,//isurve.ge/cdn/shop/files/1-min_96_6e7827c6-0397-4b56-9aeb-07b44b164130_50x50.jpg?v=1709382907
Smart 4K ტელევიზორი SAMSUNG QE65Q60CAUXRU 65 inch (165 სმ),"
      3,799 ლარი
      
",//isurve.ge/cdn/shop/files/5-min_4484a437-2e7b-490f-8225-b7cc9ee3cebd_50x50.jpg?v=1689935008
მონიტორი Xiaomi Mi Monitor 1C FHD 23.8’’ (BHR4510GL),339 ლარი,//isurve.ge/cdn/shop/products/1-min_511f7804-21f0-4d15-8bdd-24bdd5db905d_50x50.jpg?v=1675688081
Smart 4k ტელევიზორი Philips 65PUS8518/12 65 inch (165 სმ),"
      3,439 ლარი
      
",//isurve.ge/cdn/shop/files/7-min_a3abdeff-6483-4d1a-9f97-fbd8bad8904c_50x50.jpg?v=1712921272
